web-scraper-order,web-scraper-start-url,link,link-href,title,poster_url-src
1672164483-607,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",Frozen: Uma Aventura Congelante,https://www.imdb.com/title/tt2294629/?ref_=adv_li_tt,Frozen: Uma Aventura Congelante,"https://m.media-amazon.com/images/M/MV5BOWQ5Y2ZhOGUtMTc2MS00NzdjLWE2OGEtYjMxNDU4YWIzNzU1XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY281_CR4,0,190,281_.jpg"
1672164486-608,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",O Natal do Charlie Brown,https://www.imdb.com/title/tt0059026/?ref_=adv_li_tt,O Natal do Charlie Brown,"https://m.media-amazon.com/images/M/MV5BMzQ3M2JhNzMtNWQ2NS00N2IxLThmYTctMzkwYzJiMThiMjI4XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672164490-609,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",JoJo's Bizarre Adventure,https://www.imdb.com/title/tt2359704/?ref_=adv_li_tt,JoJo's Bizarre Adventure,"https://m.media-amazon.com/images/M/MV5BN2E4NWVhNmYtYzQyMS00MjcwLTgyN2UtMmVhNDkzNWQ0NzJjXkEyXkFqcGdeQXVyNjc2NjA5MTU@._V1_QL75_UY281_CR5,0,190,281_.jpg"
1672164496-610,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",Departamento de Conspirações,https://www.imdb.com/title/tt10231312/?ref_=adv_li_tt,Departamento de Conspirações,"https://m.media-amazon.com/images/M/MV5BZTg5YjE1YzktYjRmZC00Y2VjLThiMDItOTcwODRhMjRjZDQ1XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UY281_CR18,0,190,281_.jpg"
1672164500-611,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",Archer,https://www.imdb.com/title/tt1486217/?ref_=adv_li_tt,Archer,"https://m.media-amazon.com/images/M/MV5BY2E3N2MzNDAtNDgwZi00NTZlLTg5YWMtNmRhOWIzMDQ0NGJiXkEyXkFqcGdeQXVyNjczOTE0MzM@._V1_QL75_UX190_CR0,2,190,281_.jpg"
1672164503-612,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",O Ano sem Papai Noel,https://www.imdb.com/title/tt0072424/?ref_=adv_li_tt,O Ano sem Papai Noel,"https://m.media-amazon.com/images/M/MV5BMTUxMTkyMzIzMV5BMl5BanBnXkFtZTYwMjcwNjA5._V1_QL75_UY281_CR3,0,190,281_.jpg"
1672164506-613,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",A Estrela de Belém,https://www.imdb.com/title/tt4587656/?ref_=adv_li_tt,A Estrela de Belém,"https://m.media-amazon.com/images/M/MV5BZTcyYzQ0MTktNTRiNi00NTdlLTk0NTgtY2M0NTkwNjY2YWM5XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY281_CR1,0,190,281_.jpg"
1672164510-614,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",Sing 2,https://www.imdb.com/title/tt6467266/?ref_=adv_li_tt,Sing 2,"https://m.media-amazon.com/images/M/MV5BMWRiZGQ1NDMtODQ2OS00MDlhLWJkZGYtM2ZmNjlhZThjOWRmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,10,190,281_.jpg"
1672164514-615,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",Arcane,https://www.imdb.com/title/tt11126994/?ref_=adv_li_tt,Arcane,"https://m.media-amazon.com/images/M/MV5BYmU5OWM5ZTAtNjUzOC00NmUyLTgyOWMtMjlkNjdlMDAzMzU1XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672164517-616,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",Demon Slayer: Kimetsu no Yaiba,https://www.imdb.com/title/tt9335498/?ref_=adv_li_tt,Demon Slayer: Kimetsu no Yaiba,"https://m.media-amazon.com/images/M/MV5BNzJhMDY2NzUtYzE2Ny00YWVmLWI3YjQtODk2ZWQzYmEwMzJiXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY281_CR4,0,190,281_.jpg"
