web-scraper-order,web-scraper-start-url,link,link-href,title,poster_url-src
1672163783-538,"https://www.imdb.com/search/title/?genres=drama&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_1",Batman,https://www.imdb.com/title/tt1877830/?ref_=adv_li_tt,Batman,"https://m.media-amazon.com/images/M/MV5BMDdmMTBiNTYtMDIzNi00NGVlLWIzMDYtZTk3MTQ3NGQxZGEwXkEyXkFqcGdeQXVyMzMwOTU5MDk@._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672163787-539,"https://www.imdb.com/search/title/?genres=drama&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_1",Strike,https://www.imdb.com/title/tt4276618/?ref_=adv_li_tt,Strike,"https://m.media-amazon.com/images/M/MV5BOTA2MDUxMTgtY2RhMC00NWViLWIwMmEtYzYzYTc1YTM4NDVjXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672163791-540,"https://www.imdb.com/search/title/?genres=drama&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_1",A Noviça Rebelde,https://www.imdb.com/title/tt0059742/?ref_=adv_li_tt,A Noviça Rebelde,"https://m.media-amazon.com/images/M/MV5BYjg3ODVmNzItOWJhZS00MjYyLWFlMDItNTgxMjhmZGNhNmNhXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_QL75_UY281_CR25,0,190,281_.jpg"
1672163795-541,"https://www.imdb.com/search/title/?genres=drama&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_1",I Wanna Dance with Somebody - A História de Whitney Houston,https://www.imdb.com/title/tt12193804/?ref_=adv_li_tt,I Wanna Dance with Somebody - A História de Whitney Houston,"https://m.media-amazon.com/images/M/MV5BODY5OGI0MzYtZTdkMi00NjU1LTkzYjAtNDA5M2ZlYjFlODgzXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672163798-542,"https://www.imdb.com/search/title/?genres=drama&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_1",The Boys,https://www.imdb.com/title/tt1190634/?ref_=adv_li_tt,The Boys,"https://m.media-amazon.com/images/M/MV5BOTEyNDJhMDAtY2U5ZS00OTMzLTkwODktMjU3MjFkZWVlMGYyXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UY281_CR18,0,190,281_.jpg"
1672163802-543,"https://www.imdb.com/search/title/?genres=drama&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_1",That '90s Show,https://www.imdb.com/title/tt15591076/?ref_=adv_li_tt,That '90s Show,"https://m.media-amazon.com/images/M/MV5BNjQxYTA1ZTgtOTFmYi00YjRlLWE2ZjUtODE4ZmI3ZTg3ZDI3XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_QL75_UY281_CR6,0,190,281_.jpg"
1672163807-544,"https://www.imdb.com/search/title/?genres=drama&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_1",Better Call Saul,https://www.imdb.com/title/tt3032476/?ref_=adv_li_tt,Better Call Saul,"https://m.media-amazon.com/images/M/MV5BMTMxOGM0NzItM2E0OS00YWYzLWEzNzUtODUzZTBjM2I4MTZkXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672163811-545,"https://www.imdb.com/search/title/?genres=drama&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_1",Os Fantasmas Contra Atacam,https://www.imdb.com/title/tt0096061/?ref_=adv_li_tt,Os Fantasmas Contra Atacam,"https://m.media-amazon.com/images/M/MV5BOTM2MTQ1MzktOGJhMy00YjhkLWIzNjItMDc3NGU1OWE2NWNkXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY281_CR16,0,190,281_.jpg"
1672163815-546,"https://www.imdb.com/search/title/?genres=drama&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_1",Top Gun: Ases Indomáveis,https://www.imdb.com/title/tt0092099/?ref_=adv_li_tt,Top Gun: Ases Indomáveis,"https://m.media-amazon.com/images/M/MV5BZDFkZWJmODItYzBiMi00YmFlLWIwOGMtNjM4NjMyYzdlZjZkXkEyXkFqcGdeQXVyMTIwMjY0NjQz._V1_QL75_UX190_CR0,2,190,281_.jpg"
1672163819-547,"https://www.imdb.com/search/title/?genres=drama&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_1",Meu Papai é Noel,https://www.imdb.com/title/tt0111070/?ref_=adv_li_tt,Meu Papai é Noel,"https://m.media-amazon.com/images/M/MV5BN2I4MmM3ZjktMTQ1Yi00YzM3LThlMjAtZTg5OWUzMTA2OWZjXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UX190_CR0,0,190,281_.jpg"
