web-scraper-order,web-scraper-start-url,link,link-href,title,poster_url-src
1672157284-438,https://www.imdb.com/search/title/?genres=action&languages=pt,Guerreira de Sangue,https://www.imdb.com/title/tt4327752/?ref_=adv_li_tt,Guerreira de Sangue,"https://m.media-amazon.com/images/M/MV5BMzc0ZWZiZTItZjAyNy00ODFlLWJjOTQtNmQ1YTM3OWEyYzU5XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672157289-439,https://www.imdb.com/search/title/?genres=action&languages=pt,O Fim do Mundo,https://www.imdb.com/title/tt0044207/?ref_=adv_li_tt,O Fim do Mundo,"https://m.media-amazon.com/images/M/MV5BNDE2MGEwZDMtNGU3OC00NTA5LWJkMmQtMTg0ODlkM2Y0YTFhL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,3,190,281_.jpg"
1672157294-440,https://www.imdb.com/search/title/?genres=action&languages=pt,Tropa de Elite 2: O Inimigo Agora é Outro,https://www.imdb.com/title/tt1555149/?ref_=adv_li_tt,Tropa de Elite 2: O Inimigo Agora é Outro,"https://m.media-amazon.com/images/M/MV5BZjgzNGRlM2YtMDU1OC00ZWYxLWE0MzItNGNhOWQwYjg5NDkwXkEyXkFqcGdeQXVyMTE2OTg4Mjg@._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672157297-441,https://www.imdb.com/search/title/?genres=action&languages=pt,Espionagem Internacional,https://www.imdb.com/title/tt0061647/?ref_=adv_li_tt,Espionagem Internacional,"https://m.media-amazon.com/images/M/MV5BYjZkZGU1MmQtYmI5OS00YjgwLWJlYzAtZmU5ZDExODYzNTEzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,5,190,281_.jpg"
1672157301-442,https://www.imdb.com/search/title/?genres=action&languages=pt,Assassin's Creed IV: Black Flag,https://www.imdb.com/title/tt2739708/?ref_=adv_li_tt,Assassin's Creed IV: Black Flag,"https://m.media-amazon.com/images/M/MV5BZmI4ZDNmZTUtMjE2ZS00YjRjLWExMGEtODUyZTE3NDMzZjY0XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_QL75_UX190_CR0,2,190,281_.jpg"
1672157305-443,https://www.imdb.com/search/title/?genres=action&languages=pt,Batman: O Cavaleiro de Gotham,https://www.imdb.com/title/tt1117563/?ref_=adv_li_tt,Batman: O Cavaleiro de Gotham,"https://m.media-amazon.com/images/M/MV5BM2I0YTFjOTUtMWYzNC00ZTgyLTk2NWEtMmE3N2VlYjEwN2JlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg"
1672157308-444,https://www.imdb.com/search/title/?genres=action&languages=pt,Dhoom:2,https://www.imdb.com/title/tt0441048/?ref_=adv_li_tt,Dhoom:2,"https://m.media-amazon.com/images/M/MV5BNTAyYmYxOTktNjNmZS00ZTZlLWI2YjUtM2RlZTlkM2ZiZjdhXkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_QL75_UY281_CR11,0,190,281_.jpg"
1672157313-445,https://www.imdb.com/search/title/?genres=action&languages=pt,Agente 117: Rio Não Responde Mais,https://www.imdb.com/title/tt1167660/?ref_=adv_li_tt,Agente 117: Rio Não Responde Mais,"https://m.media-amazon.com/images/M/MV5BY2YwNGZhOGEtMDhlMS00MWUwLWE0NGYtNWNkNmM3ODhiMGI5XkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
1672157317-446,https://www.imdb.com/search/title/?genres=action&languages=pt,The Blacklist: Redenção,https://www.imdb.com/title/tt5592230/?ref_=adv_li_tt,The Blacklist: Redenção,"https://m.media-amazon.com/images/M/MV5BODI2MjI4MzQ1OV5BMl5BanBnXkFtZTgwOTk2MDAyMTI@._V1_QL75_UY281_CR11,0,190,281_.jpg"
1672157321-447,https://www.imdb.com/search/title/?genres=action&languages=pt,Caçadores de Trolls: A ascensão dos titãs,https://www.imdb.com/title/tt12851396/?ref_=adv_li_tt,Caçadores de Trolls: A ascensão dos titãs,"https://m.media-amazon.com/images/M/MV5BZjFkODAxZjEtMTYzMy00NzNmLWJhNjItOWFmNmY1NThjYzgwXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX190_CR0,0,190,281_.jpg"
